data,descricao,valor,tags,subcategoria,categoria
,DROGARIA NOSSA SENHORA1,26.99,custos fixos,SAUDE: FARMÁCIA,Saúde
,DROGARIA NOSSA SENHORA2,20.48,custos fixos,SAUDE: FARMÁCIA,Saúde
,DROGARIA NOSSA SENHORA3,20.99,custos fixos,SAUDE: FARMÁCIA,Saúde
,DROGRARIA TAMOIO1,61.77,custos fixos,SAUDE: FARMÁCIA,Saúde
,De Coracao E Prese01/03,53.97,prazeres,PRESENTES,Lazer
,De Coracao E Prese02/03,53.97,prazeres,PRESENTES,Lazer
,De Coracao E Prese03/03,53.97,prazeres,PRESENTES,Lazer
,De Coracao E Present,17.21,prazeres,PRESENTES,Lazer
,Decathlon,29.98,conforto,ROUPAS,Moradia
,Decathlon - Parcela 1/2,72.49,conforto,ROUPAS,Moradia
,Decathlon - Parcela 2/2,72.49,conforto,ROUPAS,Moradia
,Delicias Da Val,73.7,prazeres,RESTAURANTE,Lazer
,Delicias Da Val,75.9,prazeres,RESTAURANTE,Lazer
,Delivery Alimentos Moc,42.07,prazeres,VIAGEM,Lazer
,Distribuidora De Rac,51.8,prazeres,ANIMAIS,Lazer
,Distribuidora De Rac,211.72,prazeres,ANIMAIS,Lazer
,Distribuidora De Rac,75.36,prazeres,ANIMAIS,Lazer
,Distribuidora De Rac - Parcela 1/6,75.37,prazeres,ANIMAIS,Lazer
,Distribuidora De Rac - Parcela 2/6,75.36,prazeres,ANIMAIS,Lazer
,Distribuidora De Racoe Marica Bra,75.36,prazeres,ANIMAIS,Lazer
,Distribuidora de Racoe - Parcela 2/6,40.09,prazeres,ANIMAIS,Lazer
,Distribuidora de Racoe - Parcela 3/6,40.09,prazeres,ANIMAIS,Lazer
,Distribuidora de Racoe - Parcela 5/6,40.09,prazeres,ANIMAIS,Lazer
,Distribuidora de Racoe - Parcela 6/6,40.09,prazeres,ANIMAIS,Lazer
,Divino Pao,50.0,prazeres,RESTAURANTE: LANCHE,Lazer
,Divino Pao,13.5,conforto,RESTAURANTE: DIA A DIA,Lazer
,Divino Pao,52.51,prazeres,RESTAURANTE: LANCHE,Lazer
,Divino Pao,36.91,conforto,RESTAURANTE,Lazer
,Divino Pao,15.4,conforto,RESTAURANTE: DIA A DIA,Lazer
,Divino Pao,18.56,conforto,RESTAURANTE: DIA A DIA,Lazer
,Divino Pao,22.0,prazeres,RESTAURANTE: DIA A DIA,Lazer
,Divino Pao,32.98,conforto,RESTAURANTE: DIA A DIA,Lazer
,Dl *google Steel And F,23.99,prazeres,ELETRÔNICOS,Lazer
,Doce Brigaderia,29.5,prazeres,RESTAURANTE: LANCHE,Lazer
,Doce Brigaderia,37.0,conforto,RESTAURANTE: CAFETERIA,Lazer
,Doce Brigaderia,34.0,conforto,RESTAURANTE: CAFETERIA,Lazer
,Doris Alimenticios,84.22,prazeres,RESTAURANTE,Lazer
,Doris Alimenticios,27.57,custos fixos,ALIMENTAÇÃO,Alimentação
,Drinks & Cia,35.15,prazeres,RESTAURANTE: LANCHE,Lazer
,Drogaria Bonito,5.45,prazeres,VIAGEM,Lazer
,Drogaria Max Ii,100.91,custos fixos,SAUDE: FARMÁCIA,Saúde
,Drogaria Max Ii,18.75,custos fixos,SAUDE: FARMÁCIA,Saúde
,Drogaria Max Ii,48.46,custos fixos,SAUDE: FARMÁCIA,Saúde
,Drogaria Max Ii,104.08,custos fixos,SAUDE: FARMÁCIA,Saúde
,Drogaria Max Ii - Parcela 1/3,104.08,custos fixos,SAUDE: FARMÁCIA,Saúde
,Drogaria Max Ii - Parcela 2/3,104.08,custos fixos,SAUDE: FARMÁCIA,Saúde
,Drogaria Max Ii 01/02,257.99,prazeres,SAUDE: FARMÁCIA,Saúde
,Drogaria Max Ii 02/02,257.99,prazeres,SAUDE: FARMÁCIA,Saúde
,Drogaria Nossa Senho,36.37,custos fixos,SAUDE: FARMÁCIA,Saúde
,Drogaria Nossa Senho,97.93,custos fixos,SAUDE: FARMÁCIA,Saúde
,Drogaria Nossa Senho,8.28,custos fixos,SAUDE: FARMÁCIA,Saúde
,Drogaria Nossa Senho,39.97,custos fixos,SAUDE: FARMÁCIA,Saúde
,Drogaria Nossa Senho,65.46,custos fixos,SAUDE: FARMÁCIA,Saúde
,Drogaria Nossa Senho,77.35,custos fixos,SAUDE: FARMÁCIA,Saúde
,Drogaria Nossa Senho,36.47,custos fixos,SAUDE: FARMÁCIA,Saúde
,Drogaria Nossa Senho,13.9,custos fixos,SAUDE: FARMÁCIA,Saúde
,Drogaria Nossa Senho,99.99,custos fixos,SAUDE: FARMÁCIA,Saúde
,Drogaria Nossa Senho,85.97,custos fixos,SAUDE: FARMÁCIA,Saúde
,Drogaria Nossa Senho,28.79,custos fixos,SAUDE: FARMÁCIA,Saúde
,Drogaria Nossa Senho,112.41,custos fixos,SAUDE: FARMÁCIA,Saúde
,Drogaria Nossa Senho,43.99,custos fixos,SAUDE: FARMÁCIA,Saúde
,Drogaria Nossa Senho,20.99,custos fixos,SAUDE: FARMÁCIA,Saúde
,Drogaria Nossa Senho,150.92,custos fixos,SAUDE: FARMÁCIA,Saúde
,Drogaria Nossa Senho,27.98,custos fixos,SAUDE: FARMÁCIA,Saúde
,Drogaria Nossa Senho,22.98,custos fixos,SAUDE: FARMÁCIA,Saúde
,Drogaria Nossa Senho,44.98,custos fixos,SAUDE: FARMÁCIA,Saúde
,Drogaria Nossa Senho,46.44,custos fixos,SAUDE: FARMÁCIA,Saúde
,Drogaria Nossa Senho,4.49,custos fixos,SAUDE: FARMÁCIA,Saúde
,Drogaria Nossa Senho,27.99,custos fixos,SAUDE: FARMÁCIA,Saúde
,Drogaria Tamoio,29.99,custos fixos,SAUDE: FARMÁCIA,Saúde
,Drogaria Tamoio,34.97,custos fixos,SAUDE: FARMÁCIA,Saúde
,Drogaria Tamoio,54.34,custos fixos,SAUDE: FARMÁCIA,Saúde
,Drogaria Tamoio,87.27,custos fixos,SAUDE: FARMÁCIA,Saúde
,Drogaria Tamoio,74.55,custos fixos,SAUDE: FARMÁCIA,Saúde
,Drogaria Tamoio,15.98,custos fixos,SAUDE: FARMÁCIA,Saúde
,Drogaria Tamoio,19.68,custos fixos,SAUDE: FARMÁCIA,Saúde
,Drogaria Tamoio,75.37,custos fixos,SAUDE: FARMÁCIA,Saúde
,Drogaria Tamoio - Parcela 1/3,47.43,custos fixos,SAUDE: FARMÁCIA,Saúde
,Drogaria Tamoio - Parcela 1/4,50.34,custos fixos,SAUDE: FARMÁCIA,Saúde
,Drogaria Tamoio - Parcela 2/3,47.41,custos fixos,SAUDE: FARMÁCIA,Saúde
,Drogaria Tamoio - Parcela 2/4,50.32,custos fixos,SAUDE: FARMÁCIA,Saúde
,Drogaria Tamoio - Parcela 3/3,47.41,custos fixos,SAUDE: FARMÁCIA,Saúde
,Drogaria Tamoio - Parcela 3/4,50.32,custos fixos,SAUDE: FARMÁCIA,Saúde
,Drogaria Tamoio - Parcela 3/5,73.49,prazeres,SAUDE: FARMÁCIA,Saúde
,Drogaria Tamoio - Parcela 4/4,50.32,custos fixos,SAUDE: FARMÁCIA,Saúde
,Drogaria Tamoio - Parcela 4/5,73.49,prazeres,SAUDE: FARMÁCIA,Saúde
,Drogaria Tamoio - Parcela 5/5,73.49,prazeres,SAUDE: FARMÁCIA,Saúde
,Drogaria Via Marica,9.39,custos fixos,SAUDE: FARMÁCIA,Saúde
,Drogarias Max,19.97,custos fixos,SAUDE: FARMÁCIA,Saúde
,Drogarias Pacheco,39.96,custos fixos,SAUDE: FARMÁCIA,Saúde
,Drogarias Pacheco Sa,25.98,custos fixos,SAUDE: FARMÁCIA,Saúde
,Drogarias Pacheco Sa,38.96,custos fixos,SAUDE: FARMÁCIA,Saúde
,Drogarias Pacheco Sa,54.98,custos fixos,SAUDE: FARMÁCIA,Saúde
,Drogarias Ultra Popula,46.0,custos fixos,SAUDE: FARMÁCIA,Saúde
,Dízimo,2100.0,custos fixos,DÍZIMO,Alimentação
,Dízimo,1600.0,custos fixos,DÍZIMO,Alimentação
,Dízimo,1500.0,custos fixos,DÍZIMO,Alimentação
,Dízimo,2400.0,custos fixos,DÍZIMO,Alimentação
,Dízimo,1800.0,custos fixos,DÍZIMO,Alimentação
,ENCARGOS DE ATRASO,5.01,custos fixos,TAXAS,Alimentação
,Ebn *Sonyplaystatn,5.02,prazeres,LAZER,Lazer
,Ebn *Sonyplaystatn,53.1,prazeres,LAZER,Lazer
,Ebn *Sonyplaystatn - Parcela 1/4,43.91,prazeres,LAZER,Lazer
,Ebn *Sonyplaystatn - Parcela 2/4,43.91,prazeres,LAZER,Lazer
,Ebn*Sonyplaystatn,53.1,prazeres,LAZER,Lazer
,Ecoponte Fpay,3.1,prazeres,TRANSPORTE,Transporte
,Edzr - Parcela  01/12,59.7,conhecimento,EDUCAÇÃO,Educação
,Edzr - Parcela 02/12,59.7,conhecimento,EDUCAÇÃO,Educação
,Edzr - Parcela 03/12,59.7,conhecimento,EDUCAÇÃO,Educação
,Edzr - Parcela 04/12,59.7,conhecimento,EDUCAÇÃO,Educação
,Edzr - Parcela 05/12,59.7,conhecimento,EDUCAÇÃO,Educação
,Edzr - Parcela 06/12,59.7,conhecimento,EDUCAÇÃO,Educação
,Edzr - Parcela 07/12,59.7,conhecimento,EDUCAÇÃO,Educação
,Edzr - Parcela 08/12,59.7,conhecimento,EDUCAÇÃO,Educação
,Edzr - Parcela 09/12,59.7,conhecimento,EDUCAÇÃO,Educação
,Edzr - Parcela 10/12,59.7,conhecimento,EDUCAÇÃO,Educação
,Edzr - Parcela 11/12,59.7,conhecimento,EDUCAÇÃO,Educação
,Edzr - Parcela 12/12,59.7,conhecimento,EDUCAÇÃO,Educação
,Edzrnutrihubanual - Parcela 1/12,46.06,conhecimento,EDUCAÇÃO,Educação
,Edzrnutrihubanual - Parcela 10/12,46.04,conhecimento,EDUCAÇÃO,Educação
,Edzrnutrihubanual - Parcela 11/12,46.04,conhecimento,EDUCAÇÃO,Educação
,Edzrnutrihubanual - Parcela 12/12,46.04,conhecimento,EDUCAÇÃO,Educação
,Edzrnutrihubanual - Parcela 2/12,46.04,conhecimento,EDUCAÇÃO,Educação
,Edzrnutrihubanual - Parcela 3/12,46.04,conhecimento,EDUCAÇÃO,Educação
,Edzrnutrihubanual - Parcela 4/12,46.04,conhecimento,EDUCAÇÃO,Educação
,Edzrnutrihubanual - Parcela 5/12,46.04,conhecimento,EDUCAÇÃO,Educação
,Edzrnutrihubanual - Parcela 6/12,46.04,conhecimento,EDUCAÇÃO,Educação
,Edzrnutrihubanual - Parcela 7/12,46.04,conhecimento,EDUCAÇÃO,Educação
,Edzrnutrihubanual - Parcela 8/12,46.04,conhecimento,EDUCAÇÃO,Educação
,Edzrnutrihubanual - Parcela 9/12,46.04,conhecimento,EDUCAÇÃO,Educação
,Elainemedauarde,19.0,categorizar,DESCONHECIDO,Outros
,Elainemedauarde,5.5,custos fixos,RESTAURANTE: DIA A DIA,Lazer
,Elainemedauarde,18.0,categorizar,DESCONHECIDO,Outros
,Elainemedauarde,13.5,categorizar,DESCONHECIDO,Outros
,Elainemedauarde,8.0,categorizar,DESCONHECIDO,Outros
,Elainemedauarde,7.0,categorizar,DESCONHECIDO,Outros
,Elainemedauarde,9.14,categorizar,DESCONHECIDO,Outros
,Elainemedauarde,23.2,categorizar,DESCONHECIDO,Outros
,Encargos Rotativo,90.84,custos fixos,TAXAS,Alimentação
,Endócrino,500.0,prazeres,SAUDE: CONSULTAS,Saúde
,Energia,200.0,custos fixos,HABITAÇÃO,Moradia
,Erickfernandes,50.0,categorizar,DESCONHECIDO,Outros
,Esquina Da Praia Bar,48.16,prazeres,RESTAURANTE,Lazer
,Estacaolanches,23.0,prazeres,RESTAURANTE: LANCHE,Lazer
,Estok Distribuidora,171.5,custos fixos,HABITAÇÃO,Moradia
,Estrela Da Ana Rosa,100.87,prazeres,VIAGEM,Lazer
,Evo*boaventura,166.0,prazeres,ANIMAIS,Lazer
,F A Dos Santos Palhete,69.6,prazeres,RESTAURANTE: LANCHE,Lazer
,F A Dos Santos Palhete,175.7,prazeres,RESTAURANTE: LANCHE,Lazer
,F A Dos Santos Palhete,70.9,prazeres,RESTAURANTE: LANCHE,Lazer
,FRETE,200.0,prazeres,TRANSPORTE,Transporte
,Faculdade,224.0,conhecimento,EDUCAÇÃO,Educação
,Fenix Motos,35.0,custos fixos,TRANSPORTE: MANUTENÇÃO,Transporte
,Fenix Motos,210.0,custos fixos,TRANSPORTE: MANUTENÇÃO,Transporte
,Fenix Motos 01/02,187.5,custos fixos,TRANSPORTE: MANUTENÇÃO,Transporte
,Fenix Motos 02/02,187.5,custos fixos,TRANSPORTE: MANUTENÇÃO,Transporte
,Fenix Motos Marica Bra,210.0,custos fixos,TRANSPORTE: MANUTENÇÃO,Transporte
,Festa da virada,120.0,prazeres,LAZER,Lazer
,Figueiredo Aranha Clin - Parcela 10/12,18.5,custos fixos,SAUDE: EXAMES,Saúde
,Figueiredo Aranha Clin - Parcela 11/12,18.5,custos fixos,SAUDE: EXAMES,Saúde
,Figueiredo Aranha Clin - Parcela 12/12,18.5,custos fixos,SAUDE: EXAMES,Saúde
,Figueiredo Aranha Clin - Parcela 5/10,25.2,categorizar,DESCONHECIDO,Outros
,Figueiredo Aranha Clin - Parcela 6/10,25.2,categorizar,DESCONHECIDO,Outros
,Figueiredo Aranha Clin - Parcela 8/10,25.2,custos fixos,SAUDE: EXAMES,Saúde
,Figueiredo Aranha Clin - Parcela 9/10,25.2,custos fixos,SAUDE: EXAMES,Saúde
,Finpet,100.0,prazeres,ANIMAIS,Lazer
,Fisia Nike Ecommer,99.99,conforto,ROUPAS,Moradia
,Fisia Nike Ecommer     Extrema       Bra,99.99,conforto,ROUPAS,Moradia
,Fisia Nike Ecommer - Parcela 2/9,99.99,conforto,ROUPAS,Moradia
,Fisia Nike Ecommer - Parcela 3/9,99.99,conforto,ROUPAS,Moradia
,Fisia Nike Ecommer - Parcela 4/9,99.99,conforto,ROUPAS,Moradia
,Fisia Nike Ecommer Extrema Bra,99.99,conforto,ROUPAS,Moradia
,Fmracoes,79.9,prazeres,ANIMAIS,Lazer
,Fome Zero Lanches,78.9,prazeres,RESTAURANTE: LANCHE,Lazer
,Fome Zero Lanches,61.9,prazeres,RESTAURANTE: LANCHE,Lazer
,Franciscoelisario,24.33,categorizar,DESCONHECIDO,Outros
,Franciscoelisario,24.96,categorizar,DESCONHECIDO,Outros
,Freezer 3/3,266.67,custos fixos,HABITAÇÃO,Moradia
,G.M.A.P Supermercados,221.43,custos fixos,ALIMENTAÇÃO,Alimentação
,G.M.A.P Supermercados,337.06,custos fixos,ALIMENTAÇÃO,Alimentação
,G.M.A.P Supermercados,119.26,custos fixos,ALIMENTAÇÃO,Alimentação
,G.M.A.P Supermercados,353.75,custos fixos,ALIMENTAÇÃO,Alimentação
,G.M.A.P Supermercados,134.35,custos fixos,ALIMENTAÇÃO,Alimentação
,G.m.a.p Supermercado,52.46,custos fixos,ALIMENTAÇÃO,Alimentação
,G.m.a.p Supermercado,333.06,custos fixos,ALIMENTAÇÃO,Alimentação
,G.m.a.p Supermercado,73.38,custos fixos,ALIMENTAÇÃO,Alimentação
,G.m.a.p Supermercado,8.79,custos fixos,ALIMENTAÇÃO,Alimentação
,G.m.a.p Supermercado,132.58,custos fixos,ALIMENTAÇÃO,Alimentação
,G.m.a.p Supermercados,305.63,custos fixos,ALIMENTAÇÃO,Alimentação
,G.m.a.p Supermercados,353.28,custos fixos,ALIMENTAÇÃO,Alimentação
,G.m.a.p Supermercados,95.39,custos fixos,ALIMENTAÇÃO,Alimentação
,G.m.a.p Supermercados,29.37,custos fixos,ALIMENTAÇÃO,Alimentação
,G.m.a.p Supermercados,91.24,custos fixos,ALIMENTAÇÃO,Alimentação
,G.m.a.p Supermercados,320.29,custos fixos,ALIMENTAÇÃO,Alimentação
,G.m.a.p Supermercados,23.97,custos fixos,ALIMENTAÇÃO,Alimentação
,GMAP SUPERMERCADOS,28.33,custos fixos,ALIMENTAÇÃO,Alimentação
,GRAO DA TERRA1,19.98,custos fixos,ALIMENTAÇÃO,Alimentação
,GRAO DA TERRA2,38.11,custos fixos,ALIMENTAÇÃO,Alimentação
,GRT 2025,281.0,custos fixos,TRANSPORTE,Transporte
,Gda Mini Mercado Ponta,111.73,custos fixos,ALIMENTAÇÃO,Alimentação
,Gda Mini Mercado Ponta,30.02,custos fixos,ALIMENTAÇÃO,Alimentação
,Gildete Alves Da Silva,115.0,custos fixos,ALIMENTAÇÃO,Alimentação
,Gildete Alves da Silva,18.7,custos fixos,HABITAÇÃO,Moradia
,Ginecologista,250.0,custos fixos,SAUDE: CONSULTAS,Saúde
,"Github, Inc.",63.06,conforto,FERRAMENTAS,Moradia
,"Github, Inc.",56.48,conforto,FERRAMENTAS,Moradia
,Google GSUITE,33.6,custos fixos,TAXAS,Alimentação
,Google Gsuite_techns,26.01,custos fixos,FERRAMENTAS,Moradia
,Google Gsuite_techns,33.6,custos fixos,FERRAMENTAS,Moradia
,Google Gsuite_technsol,33.6,custos fixos,TAXAS,Alimentação
,Google Mob Control,3.29,prazeres,ELETRÔNICOS,Lazer
,Google Mob Control,8.49,prazeres,ELETRÔNICOS,Lazer
,Google One,79.9,custos fixos,FERRAMENTAS,Moradia
,Google One,119.9,custos fixos,FERRAMENTAS,Moradia
,Google We Are Warrior,34.53,prazeres,ELETRÔNICOS,Lazer
,Google Youtube,13.9,prazeres,LAZER,Lazer
,Google Youtube,4.99,prazeres,LAZER,Lazer
,Google Youtube1,13.9,prazeres,LAZER,Lazer
,Google Youtube2,4.99,prazeres,LAZER,Lazer
,Grao Da Terra De Mar,50.15,custos fixos,ALIMENTAÇÃO,Alimentação
,Grao da Terra de Maric,16.4,custos fixos,ALIMENTAÇÃO,Alimentação
,Grao de Ouro Pedra Azu,28.59,custos fixos,ALIMENTAÇÃO,Alimentação
,Grao de Ouro Pedra Azu,106.94,custos fixos,ALIMENTAÇÃO,Alimentação
,Hastel Aluguel    01/04,400.0,metas,CASAMENTO,Outros
,Hastel Aluguel    02/04,400.0,metas,CASAMENTO,Outros
,Havaianas,60.98,conforto,ROUPAS,Moradia
,Hbepeixe,22.79,custos fixos,ALIMENTAÇÃO,Alimentação
,Hebertcarlos,45.0,prazeres,RESTAURANTE: LANCHE,Lazer
,Hilaplast -ct,7.5,custos fixos,HABITAÇÃO,Moradia
,Hna,62.78,conforto,ESTÉTICA,Moradia
,Hna*Oboticario - Parcela 1/3,106.94,conforto,ESTÉTICA,Moradia
,Hna*Oboticario - Parcela 2/3,106.93,categorizar,DESCONHECIDO,Outros
,Hna*Oboticario - Parcela 3/3,106.93,prazeres,DESCONHECIDO,Lazer
,Hna*oboticario,62.9,conforto,ESTÉTICA,Moradia
,Hna*oboticario,39.6,conforto,ESTÉTICA,Moradia
,Hnt Chicken,18.45,prazeres,RESTAURANTE: LANCHE,Lazer
,Hortifrut Jvta De Ma,31.89,custos fixos,ALIMENTAÇÃO,Alimentação
,Hortifrut Jvta De Mari,101.52,custos fixos,ALIMENTAÇÃO,Alimentação
,Hortifrut Jvta De Mari,21.04,custos fixos,ALIMENTAÇÃO,Alimentação
,Hortifrut Jvta De Mari,23.61,custos fixos,ALIMENTAÇÃO,Alimentação
,Hortifrut Jvta De Maric,35.96,custos fixos,ALIMENTAÇÃO,Alimentação
,Hortifrut Jvta De Maric,39.46,custos fixos,ALIMENTAÇÃO,Alimentação
,Hortifrut Jvta de Mari,12.04,custos fixos,ALIMENTAÇÃO,Alimentação
,Hortifrut Jvta de Mari,44.11,custos fixos,ALIMENTAÇÃO,Alimentação
,Htm *cursotrafego,55.93,conhecimento,EDUCAÇÃO,Educação
,Htm*Acjejum - Parcela 10/12,39.62,conhecimento,EDUCAÇÃO,Educação
,Htm*Acjejum - Parcela 11/12,39.62,conhecimento,EDUCAÇÃO,Educação
,Htm*Acjejum - Parcela 12/12,39.62,conhecimento,EDUCAÇÃO,Educação
,Htm*Acjejum - Parcela 4/12,39.62,conhecimento,EDUCAÇÃO,Educação
,Htm*Acjejum - Parcela 5/12,39.62,conhecimento,EDUCAÇÃO,Educação
,Htm*Acjejum - Parcela 6/12,39.62,conhecimento,EDUCAÇÃO,Educação
,Htm*Acjejum - Parcela 7/12,39.62,conhecimento,EDUCAÇÃO,Educação
,Htm*Acjejum - Parcela 8/12,39.62,conhecimento,EDUCAÇÃO,Educação
,Htm*Acjejum - Parcela 9/12,39.62,conhecimento,EDUCAÇÃO,Educação
,Htm*Aryane Stein - Parcela 1/2,62.56,categorizar,DESCONHECIDO,Outros
,Htm*Aryane Stein - Parcela 2/2,62.56,conhecimento,EDUCAÇÃO,Educação
,Htm*cursos Luan Lis,97.0,conhecimento,EDUCAÇÃO,Educação
,Htm*cursos Luan Lis,378.3,conhecimento,EDUCAÇÃO,Educação
,Hungara Lanches Marica,11.5,conforto,RESTAURANTE: LANCHE,Lazer
,Hungara Lanches Marica,19.5,prazeres,RESTAURANTE: LANCHE,Lazer
,Hungara Lanches Marica,15.0,conforto,RESTAURANTE: LANCHE,Lazer
,IFOOD1,98.94,prazeres,RESTAURANTE: LANCHE,Lazer
,IFOOD2,50.98,prazeres,RESTAURANTE: LANCHE,Lazer
,IFOOD3,19.22,prazeres,RESTAURANTE: LANCHE,Lazer
,INVESTIMENTO,300.0,liberdade financeira,INVESTIMENTOS,Outros
,INVESTIMENTO,1000.0,liberdade financeira,INVESTIMENTOS,Outros
,INVESTIMENTO,400.0,liberdade financeira,INVESTIMENTOS,Outros
,INVESTIMENTO,500.0,liberdade financeira,INVESTIMENTOS,Outros
,"IOF de ""Openai""",1.58,conforto,ELETRÔNICOS,Moradia
,"IOF de ""Openai""",1.62,conforto,ELETRÔNICOS,Moradia
,"IOF de ""Openai""",1.64,conforto,ELETRÔNICOS,Moradia
,"IOF de ""Www_contabo_com""",3.73,conforto,TAXAS,Moradia
,IOF de atraso,7.24,custos fixos,TAXAS,Alimentação
,IPVA,234.29,custos fixos,TRANSPORTE,Transporte
,IPVA 2024,300.0,custos fixos,TRANSPORTE,Transporte
,IPVA 2025,200.0,custos fixos,TRANSPORTE,Transporte
,IRMAOS MATARUNA,85.92,custos fixos,TRANSPORTE: COMBUSTÍVEL,Transporte
,Ifd*32.831.641 Claudia,27.98,prazeres,RESTAURANTE: LANCHE,Lazer
,Ifd*49.138.003 Khell N,30.94,prazeres,RESTAURANTE: LANCHE,Lazer
,Ifd*51.086.590 Michelle,30.97,prazeres,RESTAURANTE: LANCHE,Lazer
,Ifd*51.086.590 Michelle,32.88,prazeres,RESTAURANTE: LANCHE,Lazer
,Ifd*51.086.590 Michelle,38.87,prazeres,RESTAURANTE: LANCHE,Lazer
,Ifd*55.319.258 Mair Vi,47.88,prazeres,RESTAURANTE: LANCHE,Lazer
,Ifd*56.342.006 Matheus,145.93,prazeres,RESTAURANTE: LANCHE,Lazer
,Ifd*56.342.006 Matheus,-10.79,prazeres,RESTAURANTE: LANCHE,Lazer
,Ifd*56.342.006 Matheus,59.66,prazeres,RESTAURANTE: LANCHE,Lazer
,Ifd*56.342.006 Matheus,43.49,prazeres,RESTAURANTE: LANCHE,Lazer
,Ifd*56.342.006 Matheus,68.35,prazeres,RESTAURANTE: LANCHE,Lazer
,Ifd*56.342.006 Matheus,61.26,prazeres,RESTAURANTE: LANCHE,Lazer
,Ifd*58.415.436 Dayvid,11.97,prazeres,RESTAURANTE: LANCHE,Lazer
,Ifd*Cencosud Brasil Co,92.38,custos fixos,ALIMENTAÇÃO,Alimentação
,Ifd*Cnz Restaurante e,107.8,prazeres,RESTAURANTE: LANCHE,Lazer
,Ifd*Marcelo Inacio Lea,93.65,prazeres,RESTAURANTE: LANCHE,Lazer
,Ifd*adriana Da Silva,93.48,prazeres,RESTAURANTE: LANCHE,Lazer
,Ifd*adriana Da Silva,128.96,prazeres,RESTAURANTE: LANCHE,Lazer
,Ifd*adriana Da Silva G,24.98,prazeres,RESTAURANTE: LANCHE,Lazer
,Ifd*adriana Da Silva G,24.23,prazeres,RESTAURANTE: LANCHE,Lazer
,Ifd*adriana Da Silva G,31.98,prazeres,RESTAURANTE: LANCHE,Lazer
,Ifd*adriana Da Silva G,20.99,prazeres,RESTAURANTE: LANCHE,Lazer
,Ifd*adriana Da Silva Go,37.96,prazeres,RESTAURANTE: LANCHE,Lazer
,Ifd*adriana Da Silva Go,21.98,prazeres,RESTAURANTE: LANCHE,Lazer
,Ifd*camilo E Gomes Lan,20.48,prazeres,RESTAURANTE: LANCHE,Lazer
,Ifd*cencosud Brasil Co,81.66,prazeres,RESTAURANTE: LANCHE,Lazer
,Ifd*cencosud Brasil Co,82.71,prazeres,RESTAURANTE: LANCHE,Lazer
,Ifd*cencosud Brasil Co,90.01,custos fixos,ALIMENTAÇÃO,Alimentação
,Ifd*cencosud Brasil Co,86.11,custos fixos,ALIMENTAÇÃO,Alimentação
,Ifd*cnz Restaurante,158.97,prazeres,RESTAURANTE: LANCHE,Lazer
,Ifd*comercio De Produt,53.0,conforto,RESTAURANTE: DIA A DIA,Lazer
,Ifd*comercio De Produt,55.01,conforto,RESTAURANTE,Lazer
,Ifd*convem Marica Rest,24.42,prazeres,RESTAURANTE: LANCHE,Lazer
,Ifd*dos3 Lanchonete E,32.4,prazeres,RESTAURANTE: LANCHE,Lazer
,Ifd*dos3 Lanchonete E,80.68,prazeres,RESTAURANTE: LANCHE,Lazer
,Ifd*dos3 Lanchonete E R,66.19,prazeres,RESTAURANTE: LANCHE,Lazer
,Ifd*flavia Alcantara D,52.97,prazeres,RESTAURANTE: LANCHE,Lazer
,Ifd*holy Crepe Comerci,60.79,prazeres,VIAGEM,Lazer
